20090203150040AAITUBF	Pets;Other - Pets	What is a Rabbit????????????????????????…	Is it a rodent? My friend who is wrong says they are!!!
20090304182856AAhZLiR	Pets;Dogs	My dog just ate a grape or two.?	my dog ate a grape:( and i just read on a website that dogs should NOT eat grapes because the cause kidney failure:( i'm freaking out somebody give me some good news.
20090304183040AAXEsrU	Pets;Dogs	How do i stop my dog from taking off?	i hav a 4 year old female hound named zoe. if she gets off her leash or the doors open shes off like a bat outta hell. this happens quite frequently during the summer. when she was younger she was hit by a truck and needed 3000 dollar surgery on her leg. im terrified it could happen again. when she gets out she just wanders around the neighborhood and returns to my house in a couple hours if i drive around and see her she'll hop in the car. more than anything i would love to play ball in the park or just chill in the yard with her without worring about her taking off. please help us
20090304183142AA7bVBO	Pets;Rodents	Is my hamster too big for this cage?	My hamster is huge! and i wanted to get a ovo habitrail ovo cage, will it be able to get to the drink and everything like that?
20090304183414AA0j6K0	Pets;Fish	Discoloration on goldfish... is it sick?	I've had 2 fantail goldfish for about 3 months now and I clean their bowl and feed them regularly.   This morning, I noticed a sudden deepening of color on one of the goldfish that hadn't been there the night before. The fish is orange, and the top of it's body has darkened into a burnt orange/ reddish color, which has now spread to some of it's fins. The fish doesn't seem to be acting any differently, although it does rest at the bottom of the bowl often.   I was wondering whether or not my fish could be sick, or what this could be. I searched online, but none of the descriptions of illnesses in goldfish match the discoloration on my fish's body, and I'm not sure if it could be due to the water because my other goldfish does not have any markings on it. If my fish is sick, is there anything I can do or buy to help it?
20090304183714AANYRuB	Pets;Dogs	How can teacup chiuahuas excist but cant reproduce?	okay.so my cousin wanted to buy a teacup chiuahua but there was one problem they cant reproduce so i was curious and wanted to know how they excist if they cant reproduce.
20090304183739AAepXBt	Pets;Dogs	This is kind of gross, but i'm concerned? A dog, maybe pshychological problem?	Well, my roomate has two dogs; and today when she let them out one of them pooped, and the other started to eat that poop. Is there a problem w/ him? Should my roomate take it to the vet? Has this happened to your pet?
20090304183859AACMNGQ	Pets;Dogs	What do I need to know about adopting a yorkie terrier?	I plan on adopting a yorkie here in the next few weeks and I'm wondering what I need or should know before I do. Thanks for the help!
20090304184436AAbkV8t	Pets;Dogs	What all do I need for my puppy?	I'm adopting a yorkie here in the next few weeks and I'm wondering what all I need to get with it? I mean obviously food, but what else? :) I have a list started but I need some help!
20090304184926AAKoUtZ	Pets;Dogs	Which dog do you think is better?	I wanna adopt a puppy here in the next few weeks. I've been thinking a yorkie but there's a couple other options... which do you think is the best type of dog to get? Which makes the best pet especially as a puppy? A yorkie, a maltese, or a pomeranian?
20090304184252AAheKFR	Pets;Fish	My fish lost its eye, and its lips are swollen!?	Ok im not exactly sure if it lost its eye or not, but its all red, you cant see it, so that's why im saying it has no eye. I think it got attacked bye the other fish, because its lips are swollen, what do i do!
20090304184352AAucYJd	Pets;Fish	I am getting a gold fish soon! What should I name it? :D?	Any ideas for a gold fish name. If you can give me a good boy name and a good girl name that would be great!! :D
20090304184524AA4DM84	Pets;Dogs	Dehydrated puppy please helpp!?	I have a shih-tzu puppy that is a couple weeks old and she is dehydrated because one of my family members has forgotten to check up on her while i was away for a few days. She is having trouble breathing and her eyes are matted shut but one eye is about to come open. We have been feeding her goats milk and a bit of honey to get her blood sugar up. Anything that you could think of that would help!?
20090304184819AAYFv2n	Pets;Cats	Senior cat constantly vomiting?	I have a fifteen year old outside/inside cat. He has been throwing up for two days. We thought it was a hairball, but he's been hiding under the bed all day and won't come out for food or anything. Any ideas what it could be?
20090304185210AAm3wtZ	Pets;Other - Pets	I need an exotic pet!!?	A mammal   not nocturnal (or could adjust a little)   doesn't mind cuddling to much      Also I have a good sized yard and a fence that is about 4 feet high
20090304185505AAFF7dF	Pets;Dogs	Any English Bulldog Puppies for sale in NC?	Im looking for puppies but i just cant seem to find any for sale in north carolina at all
20090304205831AAkLmE8	Pets;Dogs	Why is there more Humanity in dogs than humans?	.      We think we're smarter; but who's got the bigger HEART, the unconditional love, and the sense of loyalty?      .
20090304200244AAIzQsk	Pets;Dogs	Can people really not see this?	Can they really not see how these "designer" names of yorki-poo, shih-poo, pomapoo, and so on, sound very vulgar?
20090304204305AABx1ih	Pets;Dogs	What's your favorite thing about your American Bulldog?	What do you like about the breed? (For former and current owners)   Others who have bully breeds are welcome to answer. Please state the exact breed though if not an AB.   Thank you!
20090304200736AAS9bDD	Pets;Dogs	Need help from ppl who fostered a dog w/demodex mange?	We are not taking her(A hound mix)in ourselves, but just need information on how you dealt with it..   Like treatment, how long did they have it, ect.
20090304190344AAlte5j	Pets;Fish	My african cichlid fish is dying?!?!?	ohkay so i have a 10 gallon tank with 4 babies. today one of the babies died and another one is dying right now. its laying at the bottom and not really moving but breathing and its shaking very violently every so often. it also cannot swim i guess? and floats to the top as if its trying to breath or something. can someone tell me whats wrong?
20090304200241AAbXTAd	Pets;Dogs	Is there anything I can do for this puppy?(long story)?	I live in Berkeley, CA. I grew up in Minnesota. I'm a pretty down to earth person.      I love good people and I love animals. I've a got a black lab/pit bull mix named Daisy who's 16 months old and she's a my wiggly buddy. I like to take her hiking with me and I like her to play with her dog friends at the park. I have a few close friends who are homeless and they have dogs and they have a real good relationship with their dog. Probably even better than what I have with mine, they do everything with their dogs and they keep them and take good care of them and work with them to live and they live a long time. (one of them is a 14 year old and still kickin' GSD/Rottie mix and his owner lived in an apartment above where his dog was born and when he met the puppy one day he said it just looked him in the eye and came up to him like they were gonna be together forever and so the guy picked him up, asked if he could have him, and they've been together ever since.)      Sorry for the longness of this, I rant.      Anyway, so when you have friends that are homeless, you get to know a lot of the other homeless people to. Some of them aren't such great people. There's this one 40 year old man who's always being mean and nasty to everyone. He has nothing to say that isn't sick. But I always just avoided him, and he wasn't like hostile or anything, just a nasty druggie who may act tough but he's HONESTLY just really weak. So I really don't like this guy to begin with. Well, one day I was in the park with my dog and I saw some traveling kids with some puppies. I knew I wasn't in any place to be taking on another dog, but I wanted to go check them out and see which one I would get if I could, and just in general observe the different puppie's personalities and imagine how they'd grow up. Well this little black girl puppy with I white stripe on her chest just walks right up to me and looks at me and genuinely seems to be very happy on my lap, and she's wiggling and licking me and rolling everywhere. Some of the other puppies were prettier, but she was just like my dog was when I got her, and it was so nice to see another dog with such great personality. I reluctantly put her down and hoped she went to someone nice. Since they were just being given away, I considered just taking her for free and trying to find a good person for her myself. But practically at the same moment that thought crossed my mind, here comes the nasty mean man and HE'S just gotten that same puppy. This feeling of sorrow came over me. It seemed so horrible that such a sweet innocent dog would have to be with such a cold person.      And as she's been growing up, I've seen how he treats her. He's always choking her because she wants to play with other dogs, and meet people, he doesn't train her, she never gets off the leash to play, and she's real high energy...she's way too thin, and he just really doesn't seem like he cares about her at all.      I want to do something for this dog. I don't know if I can report something or if maybe do you think I could buy her from him? I think he would sell her to me if I offered him a good chunk of money. I want to help this dog but I don't want to mix with this person too much. I don't even know if I could keep her but I know I could find her a better person to be with, someone who could appreciate her. Even through the cruelty, she's still so sweet everytime I see her. And she's even got Pit bull Chow Chow and Boxer in her, also lab. But she's just the sweetest thing ever.       What should I do?
20090304190224AAVUuZ0	Pets;Dogs	What should i feed my bernese mountain dog pup?	i just got a female berner, she just turned 11 weeks old today. i currently have her on purina puppy chow, but i've been hearing so much bad sh*t about it that i'm thinkin about switchin her food.  does anybody recommend a certain brand for her?  i was thinkin about Wellness Just For Puppy.  what do you guys think has anyone tried it?      thanx   Lyla
20090304185709AACOP1j	Pets;Other - Pets	Ferret care sheet exsperiance?	what health concerns diet housing general care i was playing with one at a pet store and it was like a cat that needed so little space just an obeservation and ino they need to stay stimulated picked that up somone donno were though
20090304190832AALWEf5	Pets;Dogs	How can I improve my dog's breath?	He's 4 now but has had bad breath since a puppy. Could it be the purina food? Would better quality food improve anything? He had a teeth cleaning a year ago and his breath improved for a while. Sometimes it smells more than others. I'm afraid it could be a kidney related problem but he has had this since a puppy.
20090304185619AAVPr2n	Pets;Dogs	Guess the breed for 10 points?	I have a dog. It is smart, doesn't shed, it's breed has won westminster,    very few people know the breed exists.   Venture a guess?
20090304201033AAlOrYS	Pets;Dogs	5 week old puppy vomiting Worms?	I have a puppy that is turning 6 weeks tomorrow. Today at eight am, she threw up and a little, thin white worm came out of her mouth.      Is this okay? Does she need medical attention?
20090304194007AAKojUv	Pets;Cats	Has anybody ever used a sock or animal sweater to cover the incision of a spayed kitten instead of an e-collar?	N/A
20090304194320AAC8M2i	Pets;Dogs	My father Dislikes our dog, what should we do?	I have two dogs. Bother German Shepherd. One my father saw being born and raised him for ( currently ) 14yrs. Our other dog 1 yrs and 5 months old. He is very fisty, not socialized, and was caged by his previous owner for the first 3 months of his life. I really don't think my father likes our youngest beucas HE didn't pick him, he didn't raise him from birth, and he expecs him to be just like our older dog.       My father like to rant( about our dog )to people when they comment  on how beautiful our youngest dog is....       http://s254.photobucket.com/albums/hh95/...    ---youngest          http://s254.photobucket.com/albums/hh95/...  ---oldest         He treats my older dog better. by letting him sleep in the living room ( which normally is the kitchen) petting our oldest dog ect...      he constantly yells at our youngest dog.... treats him like the step child.. ( never hitting by the way) he is extremyl unfai and bluntly says how much he dislike him...      my mother loves the youngest dog.. its her dog...      She s told me when i move out i can keep him... i love him to death. I really believe that with formal training and socialization he would be a good dog....         my youngest knows thats my father doesn't like him YET he follows my father round everywhere. I don't get it.       He is very rambuntious and i think its becuase he dosn't get everything my oldest dog gets that makes him such a pain and making him do all these "bad things". chooses on things EXTREMLY EXICTABLE... ect.       a little help please.
20090304194717AAHf7oh	Pets;Dogs	Toy poodles, Yorshire Terries or Yorkie-POO?	I'm going to be getting a puppy in May 09 and I'm trying to decide among the these three kinds of dogs:   Toy poodle, Yorkshire Terriers or Yorki-poos      -in terms of cuteness, temperament and grooming.   Thanks for your input! :)
20090304190517AAjerkR	Pets;Dogs	Need help with a leg splint...for rehabilitation therapy?	I just brought my little sheltie mix home from the vet. She is 1 1/2 yrs old and in great health. She recently slipped off the bed and landed wrong. Well that bad landing caused a luxating patella in her right hind leg. It isn't too serious yet, I am thinking grade 1 maybe 1 1/2. The vet said to get her seen by an orthopedic vet for consult(doing this regardless, I just like having questions and info ready so I don't get "played") and that surgery would most likely be needed but it isn't a pressing issue. Well she is my little girl and I will do what I need to for her. I have been looking online and have read several things about treating this with therapy. What I am wondering is if you have treated your dog with therapy what was the outcome and if possible what was the routine, I do not have swimming as an option. I was also wondering for those of you that have done the surgery what was the outcome and if possible what was the cost for the procedure, gotta know how much to set aside if it comes to this. I really appreciate your help, I know that therapy can work wonders, especially for a healthy fit dog, so I would like to try that first and if it comes down to it I would get her the surgery without thinking twice. I just don't want her to be put through the pain of surgery when they vet said she isn't in pain currently. The vet even showed me how to pop it back in if she doesn't do it on her own. I guess I am just hoping I can "tighten" it back up and just keep her healthy without going under the knife. Thank you I am just worried about my little girl.
20090304194603AAFPAY1	Pets;Dogs	The Sentry flea collar for dogs...?	Well,, i recently bought the sentry dog callor and didnt read the directions. I was just so rushd to get the dogs to put the collar and the hampster cage has to be set up.. Well,,, i had them with the collar  for 2 days now. And i dont know when to take it off or do somthing thing~~~~!!! HELP!!
20090304185620AAf4W6m	Pets;Dogs	Best training route for my puppies?	I've decided that I need to step it up a little bit with my dogs and their training so I've been looking into different training groups and the one that really had amazing results was Sit Means Sit. Yes, I know they use negative reinforcement, but they also use treats. And yes, I know they use "shock collars", but I have felt one on the setting people are SUPPOSED to use it on (on my neck!) and it is nothing but an annoyance. No pain whatsoever. That being said, I still have some doubts.      Case 1: Oliver    He's my youngest dog, almost a year now and being a puppy, he has ADD. :P I know that he's going to be unfocused for awhile since thats just how puppies are, but I would really like to harness some of his energy and use it towards obeying commands. He has no focus whatsoever the moment we step outside for a walk. Here's my problem: I would use treats/praise over and over again until he learns BUT when I try to give him a treat, he won't even look at it xD He has NO interest in the treat whatsoever when we're outside. Just all the interesting sights and smells. :3 I think the collar would really help because it'd be an external irritant (as in he wouldn't feel as if I was actually punishing him; I would never raise my voice to him or say 'no', I would just use the collar) and one that he couldn't ignore, unlike a treat. How do you get a dog to come in a busy dog park with treats when the dog doesn't even care about 'em? :] The only reason I'm hesitating is that I don't want my dog to turn into a robot where he does each and every little thing I ask and nothing else. I want his personality to be there because he's an amazing dog and my best friend, not a tool for me to use. (I'm 16 years old, so I consider him a friend ^^) All I really want is a little more focus in distracting situations. Any solutions? Will it just take practice, over and over?      Case 2: Jake     Jake is my older dog. He is around 6 years old now. (Don't know specific age for both dogs because I found both of them wandering on the street as little pups.) He has a HUGE problem with aggression towards people and dogs. He is very territorial and protective of me, which doesn't bother me while I'm in my own home, but when I take him for a walk, he growls and barks and pulls on the leash whenever someone walks by. Other than that, he is very well trained and really smart. He learns very fast and knows that my family and I are the alphas. No worries there. I really would like to be able to take him to the dog park without him killing people or other dogs D: (No, he's never killed someone lol) I love that he's a guard dog, I would just really like to be able to control it; he guards when I want him to guard. However, when I think about putting him in the Sit Means Sit class, I could almost cry! (I love my dogs) He's old and has done sooo much for me when I didn't do my best job of training him. (I was younger and had very little patience ): ) He's loyal, smart, and responsive (except when there are people coming near me). I'd feel bad for putting him through all the stress of some stranger handling him and forcing him to obey. Then again, I feel bad every time I go to the dog park and can only take Oliver, leaving Jake watching us leave through the window. (Such a sad sight!) I think he'd be so much happier if we could conquer this aggression and let him play with people and other dogs. Still, he's old and I love him to bits. I don't want to stress him out after all he's done for me. What are your thoughts?      If you need any additional detail, lemme know. :] And thanks!
20090304194409AATwuWD	Pets;Dogs	How to make puppies drink milk from mommy dog?	My dog had 3 puppies.. but they cant find nipples to suck milk... its their 2nd day.. what to do? and at what age i can get them neutered and spayed?
20090304201530AAFTMNz	Pets;Fish	What is an aquarium  cycle?	is my 10 gallon in one now?      i have a 10 gallon with a bumblebee cichlid in it (soon new tankmate) but his nitrites are very high and ive done atleast 6 water changes this week! what should i do? how often will this occir? im not having any of those problems with my 10 gallon community tank my 1.5 gallon betta tank or my 1 gallon bowl with a female betta in it what should i do????
20090304191409AAX0t5y	Pets;Fish	Whats going on with my fish?	i took a PH test at the pet store and they say its off the charts. its a dark blue color. and i have a ph test that changes colors and sticks to the side of the tank. its not a perfect color but i think its around 7.0 to 7.4. but it is not blue! its more of a sea green. my fish are all healthy at the tank has been up for 5 weeks. the pet store ladies thought all my fish where gonna dye early, but i proved them wrong. o and when can i do weekly water changes, because my tank is overstocked.
20090304191657AAwLZST	Pets;Horses	Does this saddle look like a good saddle?	Does this saddle look like a good saddle?       http://www.rods.com/p/722,172_Complete-E... 
20090304205039AALWhQl	Pets;Dogs	Is There Something *I* Can Do?	Well this is an extremely out of the ordinary question. But its worth a shot.      Well i am half Caucasian, Half Filipino. I was born and raised here in the United States. Although i did go to the Philippines quite a few times to do modeling. While we went my whole family would go and we stayed with family that lived there. Well the first time i went i was around 1-2 so i cant remember anything. But i went one time i might have been 13-14 cause i modeled. So anyway when i stepped foot off the plane into the Philippines.. i remember I could smell barbecue. But its smelted odd, so I looked up and the first thing i saw was "dog on a stick" I was shocked. Well my dad had a little Jack Russel at the time that we took a long. I begged him too, but now it still eats me up inside and i really regret it- So one night my dad let T-bone (his Jack Russel) out in the yard to relive himself. T-bone wanted to stay out for awhile so my dad let him. One of my mothers brothers came over opened the gate an let T-bone out. Well long story short one of the Filipino guards at the house got a bat hit little T-bone over the head, made a fire and eat him all up. I cried so hard for months. I hated the country and the people, an just wanted to go home.       Anyway there are stray animals everywhere that are killed or tortured. One day i went over to a starving pregnant dog an started to feed her, my moms mother told me to stop an everyone was laughing, asking me why i would feed the stupid stray dogs and to let them be. Even my own grandmother paid a guy to through a cat up in the air, let it hit the ground until it died!!! She is of that country, she is filipino. An still today i do not let her near my animals.      So anyway now that i am all grown. I really want to do something for the poor animals in that county. If i am not mistaken it is 47.37$ to every 1 filipino peso. So this may sound crazy but it takes 1$ to spay/neuter a dog over there. So if i went over there drove around and picked up every stray i found an lets say i got 20 strays. Well it would cost me 20$ to spay an neuter them all. Thats nothing!! If you bring american dollars over there you can do wonders. So this is my dream. I guess it sounds a little crazy? But what do you think? I want to help the animals over there. Money is not a problem in the least bit. What should i do? I want to do something? I know my little T-bone up there in heaven would be so proud! Eh this probably sounds crazy but I guess its worth a shot.      Sorry for this being so long.      PS. I am not saying all Filipinos are bad to animals, hey i am half! I am just talking about some.
20090304201502AAcl1iQ	Pets;Dogs	My dog keeps biting my hand?	my puppy always bites my hand everytime i play with him. Im trying to make him stop biting my hand by not paying attention to him when he bites. So i end up putting him down from my bed if he starts to bite hard. He has plenty of chew toys but he perfers to bite my hand when he is with me. Any advice on how to make him stop?
20090304192244AApnVOb	Pets;Horses	Does anyone know anything about this AQHA sire?? (Royal Deluxe Too)?	Does anyone know anything about the AQHA sire "Royal Deluxe Too"?? It doesn't matter what, just want to know as much as I can about him...
20090304185606AAq3yxK	Pets;Horses	At what age should kids be allowed to watch animals being castrated?	I was at a family gathering . as is quite common in the west they were castrating calves without painkillers. 2 of my aunts let their kids watch  one girl about 9 and boy about 7.  the girl kept asking real loud what are they doing and why does aunt sandy have a knife.  the little boy was looking real pale when they actually started to castrate the first calf. an older girl cousin laughed and said don/t worry tony they don't castrate little boys. and everyone laughed .  when the little girl saw what was happening she yelled "look she is cuttin off his balls make her stop." i thought that kids that young should not be there. have any of you seen young kids watch animals being castrated? what did you think? at what age is this ok
20090304195231AArnIze	Pets;Dogs	Opinions on pitbulls?	What is your honest opinion on pitbulls?
20090304190650AAv92kQ	Pets;Dogs	Dog walking question?? Please answer. :)?	First of all how can I teach a puppy to walk next to me... Im going to get a puppy soon and I would like to know ahead of time because I don't want to teach wrong. After that I would like to know how to teach him to stop or sit next to me when I stop.  Thanks any suggestions are welcome.
20090304185749AAgsqTE	Pets;Fish	My cichlid is swimming in circles, sometimes sideways or upside down. what can cause this?	N/A
20090304193200AAhf21i	Pets;Horses	Has anyone been to Meredith Manor?	I'm thinking of going into the school Meredith Manor in West Virginia after this year. Has anyone ever been to it? I'm visiting april vacation, and not sure if it's worth all the money. Thanks.
20090304190110AAreWxe	Pets;Dogs	Question for the ladies with girl dogs..!?	My puppy is 5 months old, and I was wondering when she would start her period. Her mouth and around her mouth smells like it, but I haven't seen any blood? Help..!
20090304190730AAY6jh7	Pets;Dogs	What is best method of flea control for a small dog?	We live in Toronto, Canada but are vacationing in Ft. Myers Florida for 6 weeks.  We do know that fleas and ticks are prevalent in the warmth of Florida.  We have two Chihuahuas and I'm always very paranoid that they will get fleas.  I wouldn't want that to happen since we rent a condo for our stay here.       I hate to use strong presticides on them though.  My husband and I favor more natural forms of flea control but I don't think there is anything that is effective.  We have used Advantage a few times in the past and it worked fine.  This time a vet down here recommended Vectra....though I think it might be stronger and more dangerous than Advantage.     Does anyone have any recommendations for us?  We'd prefer an effective nautropathic flea control method.  If there is nothing effective what's the next best that is the least toxic or injurious to the pet?       We are concerned since our chi that is 14 years old had back surgery about 5 years ago and we hate putting pesticides on his back.  Thanks for your help and recommendations.
20090304191908AAztLlh	Pets;Dogs	Puppy Picture!!!!!!!!!!!!?	Plz add a site of a cute pup
20090304194053AAIRNnD	Pets;Fish	Will Cardinal, glowlight, and Rummy nose Tetra Schoal together?	I want all of these in my 30 g tank, but am maxing out on fish for what I want.  So I'm wondering if I can get away with 3-4 Cardinal Tetra, Rummynose Tetra, Glowlight Tetra Glowlight Danios, So I can have more variety at max capacity.      I know all schoal better in groups of 6, Anyone working with smaller numbers and seeing good results?
20090304194132AAEA5YF	Pets;Fish	Is my betta fish okay? Or am I just a paranoid crazy person?-picture of betta-?	Okay, I might be seriously paranoid or something because I keep reading about betta fish and their diseases and my friend keeps telling me how to cure diseases and how her fish was constipated...anyways:    My betta fish, Toto, had been living in a 1/2 gallon tank and I thought something was going to happen. And I kept examining him everyday and my friend said he looks like something happened to his left fin like...a tiny bit was missing so I got some medicine to heal damaged fins and skin. So I recently got him a 5 gallon tank with 3 Danios and a Pleco.    Okay, so he sometimes like spazzes up and down the glass walls and I also found him resting by a plant near the bottom of the tank. AND then I read about a couple of diseases and whatnot and I don't want my fish to die cause that's what my dad keeps saying.    Toto is a dark blue betta but then when I accidently took a closeup picture on flash some red also showed up near his face. The red isn't that visible on his face, but if you look close you can see it. And I've always been able to see the red on his....fins? The ones like directly below his face.    He still eats like a pig though and swims around. Yeah...   Anyways, sorry for such a long thing. I might just be paranoid. Thanks for helping! And here's a picture of Toto:  http://i4.photobucket.com/albums/y150/Ma... 
20090304194223AAkhImS	Pets;Cats	I think my cat is in labor. Is she having problems delivering?	For about the last hour she occasionally tenses up her entire body 3 or 4 times in row, back to back. Like (tense-relax-tense-relax-tense-relax) is the pattern, lasting maybe 15 seconds to complete. She's laying on her side and tries to raise her rear leg but she's too big, so I help her by just holding it about level to her shoulder. (slightly raised) She is wet under her tail and acts like she's ready to give birth. I felt the babies moving just last night but I haven't checked if they are moving tonight. I'm wondering if she is having problems getting started. She is six years old and is a very, very tiny little Scottish Fold breed. This is her third pregnancy. I wasn't her owner during the other two. Is there something I should watch for that will determine she needs medical attention? Is it possible that she may have to have them taken out of her surgically, cesarean section? How long should I wait?
20090304194835AAB7cCS	Pets;Fish	Where can I find Dwarf Puffers in Modesto?	I live near Modesto and I'm not sure if there are Dwarf Puffers anywhere around here. I have a 20 gallon tank equipped with a bottom layer of Laterite, topped with sand and gravel, a heater, LOTS of South Asian plants, 60 Watts lighting and a lot of shelter. The tank has been running for about a week now with no fish in it I've seen something similar to Dwarf Puffers at Wal-Mart but they seem too big and unhealthy. Does anybody know a place that sell Dwarf Puffers? They grow to about 1 inch and they look like the picture below.       http://www.dwarfpuffers.com/images/dpfee...       Dwarf Puffers feeding on frozen blood worms
20090304194856AACDa6X	Pets;Dogs	Ten Week Old English Mastiff Has A Runny Nose...?	I took him to the vet today he has already had to rounds of most of his shots. But this morning he suddenly had a runny nose and cough but it sounds like he is trying to clear his throat. The runny nose is clearish white. He eats normal plays and sleeps. No runny fecal or vomitting. The vet said he either has a respiratory infection or distemper. The whole distemper thing scares me and im trying to see what you think the likley hood of him having it is. Could it be kennel cough? He is on antibiotics now. Im just really worried. They said if he starts getting seizures they will have to put him down....
20090304195011AAD93oF	Pets;Dogs	What does my dog have?	My pug is really swollen and his belly is red. His forehead has a lot of red spots, they look like insect bites or something. I'm really worried about him, he's 3 years old. We took him to an Animal Hospital and all they did was recommend Benedryl without sinus and recommend us to an Emergency Hospital in another town. I just wanted to know if it's allergies or something else, and what may cause it.
20090304195513AAwN4Hw	Pets;Cats	If 6 cats can kill 6 rats in 6 minutes, how many cats will be needed to kill 100 rats in 50 minutes?	(assume that the cats kill at the same rate)    (show work)
20090304195319AAc2Evu	Pets;Dogs	A question about my dog im worried?	hes about 10 months old,   and since yesterday when he sleeps he dribbles ALOT all over his bedding and its soaked and he has sticky dribble all over one side of his mouth (the side touching his bedding) and he did it in the day when he had a nap and at night when he slept again and its not just a bit its like a bit of a puddle.   im really worried.   he never used to do this he only started it yesterday,   is there anything wrong with him?   could it have been something he ate?    or what?
20090304195347AA9qICi	Pets;Dogs	Whats a  good name for him?	 http://i338.photobucket.com/albums/n420/...          I reallly like the nme Binx for him but iam not sure      something unique aswell something that a has a special meaning
20090304195357AAWygZ4	Pets;Dogs	Puppy names! I need help?!?	I got a puppy today, its a black/lab boxer mix.  Too cute!! Female.  Can't figure out a name that everyone likes.  Don't say oreo or shadow..those were our old dogs :(. Please help!
20090304195536AA6yjNp	Pets;Cats	If you knew of a cat that had rabies, what were its first symptoms that you noticed.?	my cat was bit by something 3 weeks ago. He is now hissing at us and acting very tired. He has not had his rabie shots. Yes, he is now in a kennel until he goes to the vet tomorrow.
20090304200211AAqnSsW	Pets;Cats	Can  a cat's vision be accurately tested?	I'm caring for a stray cat and it often acts as if it cannot clearly see things until he is right up on it.  How can I actually test his vision to determine if there is a problem?  And if there is, can anything be done anway?
20090304201603AAzvPmn	Pets;Cats	What is the chance of my cat dying while giving birth?	my cat is maybe just a year old, we dont know her orignial birth date, but she is pregnant, im scared of her dying during pregnancy.      what are the chances of this?      is there anything i can do to prevent this?      is there anything special i need to do during her giving birth?          please answer, shes due very soon.
20090304201843AAWyeNJ	Pets;Cats	How long do cats live when they get hit by a car?	N/A
20090304202104AAnSeKL	Pets;Dogs	Itchy Scratchy Dog.  HELP!?	A couple months ago, my dog started scratching and scratching.  We gave her a bath, changed her food, gave her Brewer's yeast (for fleas), combed her, flea treatment, no change.  She ended up getting a nasty hot spot, so we took her in to the vet.  Prednisone, antibiotics and she was fine.  Until a few weeks later and it is back, just the same.  We made an appointment for the vet again and tonight I noticed she has another hot spot.   Help!  What can we do?!  We can't afford to keep taking her to the vet.  I need help!
20090304202540AAj9s3m	Pets;Dogs	Is this normal for a dog to do?	Every time my dog gets up he shakes his head making his ears flap like he's got something in them. He hasn't always done this just for the past year and a half and he's almost 5. I've cleaned his ears and everything. Why does he do this?
20090304204816AAVmeA6	Pets;Dogs	Can you be denied a dog/puppy if you own a mobile home?	I'm looking to get a border collie. i own a mobile home. on many of the applications they ask if you own/ rent. and what your housing is. apt, house, mobile home.       I own a mobile home on an acre. i will be getting a fence. and putting it up against my backdoor.       also why don't they ever ask your income??? your income is more important than your housing??
20090304210024AAdOa12	Pets;Dogs	When should a pregnant chihuahuas nipples leak?	When along the timeline of my chihuahuas pregnancy should her nipples bleed?   She is supposed to have her babies in about three days, and isn't leaking.
20090304161403AAEPqWQ	Pets;Dogs	How did the "dangerous dogs" get such a bad reputation?	Even  though a lot of them started as guard dog breeds,they were quite popular family pets.      But,all of a sudden,most of them got bad reputations.   Even German Shepard's,which is somewhat surprising considering the fact they were such popular dog breeds during the war,and were featured respectively in multiple tv shows,during the time most other "dangerous dogs" reputations were taking a heel face turn.      What happened exactly? Someone just decided to use certain breeds in dog fights again,and guarding?    But,they were used for those before and they had great family reputations.
20090304221941AACPaIy	Pets;Fish	Pregnant Fish...help?	I have 3 pregnant fish, 1 platy, 1 mickey mouse platy and 1 blue calico platy. They are all pregnant and getting really big now. the three of them have stopped being sociable and are resting on the bottom of the community tank. They are leaning on the bottom and whenever i look to see if they are giving birth they swim away to the opposite side and do the same thing. I am just wondering when should i separate them from the others so their babies dont get eaten. i kinda think they are getting close!
20081028063142AA6liqK	Pets;Dogs	Could it be time to euthanize my dog?	My 12 year old cocker has had cataracts for quite some time and has been hard of hearing.  Yesterday, he seemed completely disoriented.  He was walking around in circles and bumping into everything.  I had to carry him up the 3 steps into the kitchen for the first time and literally direct his head to his food so he would eat.  I now have to carry him outside to go potty.  I don't mind doing these things for him, but could this sudden change in behavior mean it might be soon time to put him to sleep?
