20070123155027AA7UTFD	Entertainment & Music;Polls & Surveys	Are you into romance or blood and gore?	I like a combination of both and yes I'm weird. =P
20090202131309AAbwpXv	Entertainment & Music;Polls & Surveys	What makes you smile?	?
20090202124032AABEbJC	Entertainment & Music;Music;Rock and Pop	Are there any lost "classics" that you know and are able to share?	There are so many artists and singers. With so many to choose from, I think I seem at times to focus on a couple at a time to hear the words offered.      It can be the part I play as a listener. Any music lover could seem to have favorites or preferences, but what about those songs that feel like they have some inspirational message.      It's great that these songs are in the world we know. Learning the skills necessary was probably a very exciting adventure. It makes me wonder what I am capable of.      I also wonder what it would feel like to see my own name on a music collection. At times I look at my own list and feel like it is a treasure hunt in some ways.      Well what are some songs you might have to share.       Honestly, just thinking about building a dream home or learning the skills for that makes me think of this. What would it take to build a home...or even a castle in my own mind?         Here's an idea that came to life....    http://www.youtube.com/watch?v=eIa9UEXd9... 
20090202132011AAREJ5F	Entertainment & Music;Polls & Surveys	POLL: What is snow  .. ?	i like giant cucumbers
20080906193836AAxpVXO	Entertainment & Music;Music;Other - Music	Qual musica n?o sai da sua cabe?a?	N/A
20080907091601AADPpZ0	Entertainment & Music;Movies	Qual filme você assistiu neste fim de semana ou vai assistir?	Diga se gostou ou n?o.
20081010100628AAlEgN4	Entertainment & Music;Polls & Surveys	What would happen if i called her fat?	 http://www.dvorak.org/blog/wp-content/up... 
20090202125057AADuqUv	Entertainment & Music;Comics & Animation	I need a codename that is scary/ intimidating. Kind of along the lines of dragon, knighthawk, and predator?	Help
20080924201743AAgvF0x	Entertainment & Music;Other - Entertainment	David Blaine  Tonight?	I turned my head for one second and I think i missed it!!! All he did was hang upside down for a few days and bunjeed off a plank?? That doesnt seem exciting? Why is that the dive of death?
20080315011324AA4RrfB	Entertainment & Music;Polls & Surveys	If you noticed that someones zipper was down, would you tell them?	N/A
20080729195540AAmmaLW	Entertainment & Music;Polls & Surveys	Doesn't a lightning rod on top of a church show a lack of faith?	N/A
20080401135503AAmKnVE	Entertainment & Music;Music;Rock and Pop	?que cancion estas escuchando justo ahora?	Yo ... Man needs ... de The Cribs ... e suna gran rola ...se las recominedo muchisimo
20090202130424AAIgNXI	Entertainment & Music;Polls & Surveys	What were you in a past life ?	N/A
20080311171418AATx2rY	Entertainment & Music;Polls & Surveys	Rugrats vs hey arnold?	which did you like better?
20080305230424AAGL0n1	Entertainment & Music;Polls & Surveys	Which kind of perfumes do men like?	anythingg please tell me   i like the fruity perfumee but it depends    guys please answer
20081108144134AAiwsXx	Entertainment & Music;Movies	Qual o seu TOP 5 de filmes que falem sobre a AMIZADE?	N/A
20080927094117AA4XAvM	Entertainment & Music;Movies	Do cinema nacional qual o ultimo filme que assistiu?	e fa?a um comentario se possivel sobre o que achou dele....grato desde ja...
20080811080531AACC1me	Entertainment & Music;Television;Other - Television	Qual é o programa que vc  gosta de ver na "TV Aberta"?	Pode ser qualquer um,tá?      Novela,noticiário,programa de auditório.....            Bjks e boa tarde a todos nós......
20081114053831AA4TvYZ	Entertainment & Music;Movies	Vc ? acha que,a maioria das adapta??es literrias pro cinema ? ficam boas?	Ou vc discorda disto?    Por qu?      Assisti "Ensaio sobre a Cegueira",  ? achei que ,  souberam corresponder a grandiosidade da obra literria.        Vc j assistiu algum filme adaptado de 1 livro que,   vc gostou muito?      Qual?        Bjks e bom dia a todos ns,se DEUS quiser.......
20081117073038AA42udK	Entertainment & Music;Movies	Se vc fizesse uma lista dos"10 Melhores Filmes do Mundo",quais seriam os seus escolhidos?	Por qu?    Tente misturar drama,com fic??o,terror,romance..,t?      Acredito que ,fica 1 lista + completa....        Bjks e boa tarde a todos ns,se DEUS quiser....
20080929095413AAcwf5W	Entertainment & Music;Movies	What is the name of the song by Kumar Sanu and in which movie is it from?	here is the link:  http://www.youtube.com/watch?v=khzmmpjqw...  
20081119053800AAsYFBe	Entertainment & Music;Other - Entertainment	Vc já ficou em frente do computador navegando  na internet a varias horas?	qtas horas vc fica na internet?vc ja ficou muiiiito tempo em frente o computador?sentiu ardencia nos olhos?ou algum efeito colateral,tipo dor na cervical,coluna e no pulso(tentinite)???
20071203095225AAbIAxg	Entertainment & Music;Music;Rock and Pop	Que genero de musik te gusta y cual cancion te gusta mas........?	A mi me gusta el metal y mi cancion preferida es master of puppets
20080402190532AAWXq44	Entertainment & Music;Comics & Animation	What should you give these anime characters?	if they asked you to help with their looks?      Naruto   Gaara   Sasuke   Sakura   Rock Lee   Kiba   Shikamaru   Light   L   Ryuk   Misa         add more characters if you want!
20081024013637AAwNkke	Entertainment & Music;Polls & Surveys	Have you a good memory or do you have to?	write telephone numbers on your hands? thanks for answering 
20080712154527AAAQJYb	Entertainment & Music;Comics & Animation	3 naruto manga questions?	just puting that so people that dont read dont get any spoilers =D and i think this is my first naruto question on this account =OO      do you think itachi give sasuke all of his powers and did he gain any of his own original mangekou sharingan effect?       do you think naruto has the power of the mangekou sharingan after itachi gave naruto a bit of his power? was this to protecting naruto from madara or sasuke and why?
20081107110436AAJ4lAq	Entertainment & Music;Television;Other - Television	Will the Duchess and the Princesses sad orphanage programme?	prompt some other glam movie stars to swan overseas and pick up a needy kid? Somehow i don't think those unfortunates are the type our well to do's really want. 
20081120104424AA0E9pI	Entertainment & Music;Jokes & Riddles	Vamos  usar a criatividade...?	Como o ser humano é o ser mais inteligente do mundo (independentes das burradea que ele faz)    Vamos usar nossas mentes para se descontrair.      VAMOS CONTINUAR A HISTORIA ABAIXO COM APENAS 3 PALAVRAS      -Era uma vez...
20071204105232AAVo3IW	Entertainment & Music;Music;Rock and Pop	Cuáles son tus bandas preferidas de Power Metal?	N/A
20090202124614AAUhdN9	Entertainment & Music;Celebrities	How many of those well-known "dumb blonds" were actually naturally blond? ?	N/A
20090202132016AAfnlsd	Entertainment & Music;Polls & Surveys	What was your favorite super bowl commercial yesterday?	Mines was the careerbuilder.com commercial where his boss kept walking by saying hey dummy.
20071221191508AAEl1HD	Entertainment & Music;Celebrities	?Que opinas de la PORQUERIA de pelicula llamada "APOCALYPTO"?	Me parece totalmente un porqueria estoy muy indignado ven, a la civilización maya como una tribú de "indios" irrelevantes la pelicula empieza con ridiculas estupideces por ejemplo que los mayas ya tenian sexo oral QUE ESTUPIDEZ!!!!      ??Sera burla o que???      MEL GIBSON ESTUPIDO!!!   En las peliculas gringas sacan a la ciudad de méxico con un fondo asi comode musiquita de guitarra dandole un matiz triste de pueblo rural porfavor!! todos saben que la ciudad de mexico es la mas grande del mundo, Y es catalogada como una ciudad global.   Me siento indignado porque yo vivo en un pais donde habito está civilización, Si se sabe que son los mayas SE SABE DE ALGO BUENO.
20080106175220AA2nIrD	Entertainment & Music;Music;Rock and Pop	?Cancion de los beatles que te ha puesto a punto de llorar?	N/A
20090202123513AArjSdn	Entertainment & Music;Polls & Surveys	Who's going to Denny's tomorrow for their free Grand Slam?	6am-2pm, free grand slam time!
20090202125346AAOEzwf	Entertainment & Music;Polls & Surveys	BEBO HELP!QUICK ASAP!?? 2 MINS LEFT!!?	when i tried to press sign out it said:     The webpage cannot be found     HTTP 400        Most likely causes:   There might be a typing error in the address.    If you clicked on a link, it may be out of date.           What you can try:         Retype the address.                 Go back to the previous page.             Go to  and look for the information you want.              More information              my interent works fine      and i left my bebo signed on   please help   i have to go in 2 mins!
20081004135820AATdKGO	Entertainment & Music;Music;Rock and Pop	Você compra camisetas de bandas de rock ?	Eu compro camiseta, boné, corrente e vários outros acessórios das bandas que eu curto. A primeira camiseta de banda de rock que eu comprei foi dos Ramones.      E a sua qual foi?
20081121072153AAMCDeK	Entertainment & Music;Polls & Surveys	A história da tua vida produziria um drama, uma comédia, uma fic??o científica ou um mistério?	   Beijos!
20081015144358AArGRt2	Entertainment & Music;Polls & Surveys	Funk - A filosofia das músicas!?	Pra você que adora ouvir esse tipo de música e prestar aten??o nas letras e na cultura e filosofia que elas passam ao ouvinte, letras essas, que tem todo um contexto maravilhoso, rico em rimas e com uma vis?o futuristica do mundo!!      destaco alguns trechos que me emociono toda vez que ou?o:      "to ficando atoladinha, to ficando atoladinha, to ficando atoladinha, calma calma foguentinha."      "dako eh bom, dako eh bom"      "vai lacraia vai lacraia, chao chao chao, chao chao chao"      "dan?a da motinha, dan?a da motinha, dan?a da motinha"      "piririm piririm piririm, alguem ligou pra mim"               Agora parando com a ironia... o que você acha desse tipo de 'música'(se é que dá pra chamar essas COISAS de músicas)?
20080915045407AA4Xyi6	Entertainment & Music;Music;Other - Music	Adriano Celentano est-il l'interprète original de la chanson "Susanna" ?	Ou bien y a-t-il eu d'autres interprètes avant lui ? 
20081015154715AAZGjLK	Entertainment & Music;Music;Other - Music	O que acha desta letra de música, imoral ou nem tanto?	Leila Pinheiro & Orlando Morais    http://br.youtube.com/watch?v=34WaIMSqRN...       Divinamente Nua, a Lua   Orlando Morais       Divinamente nua, a lua   Tritura a sombra na treli?a   E a hóstia sobre o sexo atua   Quando o desejo morre de pregui?a      Prisioneiro sem bíblia, livre   No peito tenta??es, pudores   Sonhos de amores, leitos   Livres, leitos   Divindades e drag?es      Mar feroz que vem dormir na minha cama   Sangrar na minha vida t?o confusa   Queria ter o sol e tenho a lua   E a escurid?o   Ainda assim abusa      *(Música feita para a pe?a Violetas Azuis)      Ainda... Tema da Guta e Marcelo ... Pantanal      Beijo carinhoso, boa noite!
20080915131520AAESiJ3	Entertainment & Music;Music;Other - Music	Pra você!!! Que precisa ter uma música, para classificá-la, como boa   ?	Aproveite e deixe, uma de sua preferência, aquela que o(a) encanta...que faz sonhar acordado(a)...   
20080915133747AAtdKT9	Entertainment & Music;Polls & Surveys	O que/quem, o(a) levou a escolher a profiss?o que exerce ou exerceu ?	N/A
20080426122139AAZ7Hz3	Entertainment & Music;Polls & Surveys	A vida é um instante no espa?o?	N/A
20081004145234AAZj9dn	Entertainment & Music;Polls & Surveys	Voc  o qu? Aquilo que pensa, come ou SENTE?	Segundo teorias, somos formados por vrios corpos de energias...fsicas, emocionais (sentimentos), mentais e espirituais...
20081017122708AAyfY1T	Entertainment & Music;Comics & Animation	What is the difference between Domestic Anime DVD and Import Anime DVD?	I have seen on many Anime shop websites that they have to Anime DVD sections, Import DVD and Domestic DVD, can anyone tell me what is the difference?... I guess that it could be because of the dialog translation. But still, the price on the Import DVD is much much lower. Can anyone tell? Many thanks   e.
20080930180633AAGRtpk	Entertainment & Music;Comics & Animation	?Donde encontrar un Manga en Japones?	Hola a todos.   Estoy buscando en internet, la descarga o scans de un manga en japones original... Sabe alguien donde???   No me importa mucho que serie sea o si ya esta abanzado en la serie o no.   He encontrado muchos pero en espa?ol o en ingles pero no me sirven.   La razon es que estoy estudiando japones y tenia que llevar un manga en japones, compre unos manga importados pero aun no llegan por correo.      Si alguien me puede ayudar,, GRACIAS :-) !
20080128112853AA0Gu22	Entertainment & Music;Music;Rock and Pop	Alguien sabe como se llama el video clasico de Phil Collins con unos pupets?	Yo he escuchado la cancion un par de veces y me parece excelente, creo que es parte de sus clasicos, pero recientemente vi parte del video, y salen unos personajes disfrazados con mascaras... o algo asi.   Sabe alguien que video es o como se llama.   GRACIAS!
20080328001604AAWt1Xo	Entertainment & Music;Music;Other - Music	Tong Hua GUITAR music sheet?	Hi i am looking for the guitar version of the song "tong hua" by Guang liang, could anyone please send me the music sheet or link to the website   my email wreckornized AT Yahoo Dot Com
20080227104405AA0mwQ2	Entertainment & Music;Other - Entertainment	Il titolo di una canzone?	andate sul sito di mtv black box... guardate la seconda parte della  puntata di gossip....  qual'è la canzone che c'è di sottofondo quando vanno alla festa in maschera? è da tanto che cerco il titolo....
20080229010135AA7fOa9	Entertainment & Music;Other - Entertainment	Festival di San Remo?Maestri..?	Perchè al festival di S. Remo si avvicendano così tanti maestri?   Non ne basterebbe uno?
20080222033753AAJG7Wn	Entertainment & Music;Music;Other - Music	Do you like this song?	What do you think about this video?    http://www.youtube.com/watch?v=tZq7kN592... 
20080326034938AAeuEF2	Entertainment & Music;Celebrities	A question about Sabrina Lloyd??	Does she have a significant other?
20080707195655AA7Vssw	Entertainment & Music;Movies	Where can i see Ocean's 13 on the Net?	-good quality please
20080701115447AABQPrC	Entertainment & Music;Celebrities	Melita ha qualcosa di suo? A cosa serve? Cosa fà in tv?	N/A
20080530055850AAt2dkr	Entertainment & Music;Movies	Kill Bill vol2 Il titolo della canzone in sottofondo quando Uma guarda la tv con la figlia?	N/A
20080819060828AAVsply	Entertainment & Music;Celebrities	Come ha fatto quell'orrore della Pellegrini a fare un calendario?	Insomma, campionessa quanto vuoi ma l'oro nn toglie il frontone, il mento da Schwarznegger, le spalle tipo armadio a due ante, gli occhi piccoli e soprattutto la sua arroganza e presunzione!
20080311055405AAjsXUR	Entertainment & Music;Other - Entertainment	Come fanno gli italiani a massacrare tutti i format di successo?	E' un'abilità innata anke quella eh!   X FACTOR è stato un successo mondiale e da noi nessuno si è sprecato nemmeno di zapparci su. Come mai?      Il mio motivo:   -Dj Francesco come presentatore, la plasticosa Ventura ke dovrebbe andare in un cantiere a farsi togliere un po' di impianti...   -Ho zappato un attimo e subito:  -Piagnistei da tragedia greca, con tanto di "E' il nostro sogno, ci crediamo" e menate varie in una valle di lacrime e    -Pungolamenti tra i vari "insegnanti" (molto professionale devo dire)    Tutto qst in un minuto mentre aspettavo l'inizio di Demolition Man...      A vedere certa gente m vergogno all'idea ke gli stranieri possano pensare ke siamo tutti così!
20080915221436AA4ifZX	Entertainment & Music;Comics & Animation	?que anime esta de moda o que son mejores en este momento ?	N/A
20081005053455AAvQ60l	Entertainment & Music;Movies	Give me websites from where i can download full length tamil movies free of cost and without registering?	N/A
20081118191410AAp3iub	Entertainment & Music;Movies	Is the twilight movie only on the first book?	i don't see how it could be if it is, but i've asked around school and no one seems to know for sure.   i know that there's a breaking dawn movie, so does that have the rest of the story? or whats happening.   i really want to know so i know if i should get my read on. [:
20080105161328AAiIytk	Entertainment & Music;Music;Other - Music	Alguem pode me dizer o nome d algumas musicas maneiras para tocar em uma partida de paintball???	Pow, fui encarregado de montar o cd, soh que tipo, sei lah, viajei agora, rs, pow, qual musica fica legal?   fala ai o nome dos cantores, e o nome das musicas para facilitar!      Serei eternamente grato,   mas por favor,   nada de funk,   rs   e outra coisa   tentem colocar bastante      grato a todos!
20080105161055AAd7dBb	Entertainment & Music;Television;Soap Operas	Alguém pode me explicar um pouco desse lance que rolou na novela das 8?	Pow, alguém pode me explicar direito,   tipo   uma m?e de santo morre,   e uma evangelica morre,   um lider morre e revive,   alguém entendeu isso???      Explica ai a moral que viajei na batatinha!
20081031032713AA63TBe	Entertainment & Music;Music;Rock and Pop	Where can i download music - Quick free + easy? Backstreet Boys fans - I want all the rare ones?	I am a big Backstreet Boys fan & some songs you can only find on the net, so i want as many as i can find.
20080114154410AAv9fks	Entertainment & Music;Polls & Surveys	Do you beleive in this silence?	N/A
20080703052733AA1fP7c	Entertainment & Music;Music;Other - Music	Canzone di sottofondo?	sto facendo una presentazione in PowerPoint sulle frasi sparate dai prof in 5 anni di scuola per farsi un po di risate alla grigliata di domani... che canzone o canzoni di sottofondo potrei mettere?
20080816054123AA5F861	Entertainment & Music;Music;Rock and Pop	Qualcuno si ricorda la canzone?	è un po difficile cm domanda ma magari qualcuno se lo ricorda. E' una canzone di qualche anno [2001 circa] fa in inglese nel cui video c'erano due ragazzi uno biondo e uno moro cn vari tatacggi che cantavano ad un party in spiaggia. Mi è venuta in mente l'altro giorno ma ricordo solo la musica
20080510112941AAYkleI	Entertainment & Music;Music;Other - Music	Fall out boys v?o regravar "beat it" de Michael Jackson, o que vcs acham?	legal, ou, nada a ver?      Exponham suas opini?es!!!!
20080510090413AACcU5K	Entertainment & Music;Music;Other - Music	Pesquisa elege Kurt Cobain a estrela do rock mais importante de todos os tempos, o que acham?	segue o link pra quem quiser ler a matéria:      http://www1.folha.uol.com.br/folha/ilust... 
20080510105838AAlp8ZW	Entertainment & Music;Movies	Profiss?o perigo, a srie de grande sucesso nos anos 80, pode virar filme, quem vc escalaria como MacGyver?	N/A
20080927082133AA2lh9a	Entertainment & Music;Music;Rap and Hip-Hop	Você tem o Ares, ent?o me ajude?	Eu encontrei no Ares uma musica estilo RAP chamada remedio fatal,   mas n?o tem autor como fa?o para saber de quem é e quem canta.
20081004090228AA8L2yc	Entertainment & Music;Music;Rock and Pop	History of Finnish Rock?	I'm looking for any sites with information on the history of Finnish Rock (besides Wikipedia).
20081105193515AAoZhBb	Entertainment & Music;Celebrities	Marilyn Manson's influence on popular culture?	Any site or article would be helpful. 
20081004145524AAe5ZFx	Entertainment & Music;Music;Rock and Pop	Quais as 15 músicas mais legais q vc já ouviu?	as minhas:   father figure-george michael;   survivor-destiny's child   i wanna love you-akon   the next episode-dr dre snoop′dogg   wonderful-ja rule   crazy in love-beyoncé   got what you need-eve   genie in a bottle-christina aguilera   girlfriend-justin timberlake e n'snc   dillemma-nelly   stole-kelly rowland   yeah!-usher   west end girls-pet shop boys   beautiful-christina aguilera   killer queen-queen   eh isso e vcs quais as 15 melhores músicas q vc já ouviu??   bjussssssss      
20080314141728AAaA2KQ	Entertainment & Music;Music;Other - Music	Which song is this???	hi    can anyone plz tell me which song is running in the background of this mime performance....    http://www.youtube.com/watch?v=C_OQRYIkS...       please help in finding this song....
20081005173412AABxH2h	Entertainment & Music;Music;Other - Music	What does this song mean?	Its "just a dream" by carrie underwood what is it about and what happens in it?
20081013173329AA3XR8b	Entertainment & Music;Movies	on free on demand is naked brothers band new movie mystery girl out yet?	please i need to know
