20081216115611AABL5VF	Entertainment & Music;Music;Other - Music	Sapete scrivermi questa canzone?	nonla traduzione, ma le parole:   Great DJ - The Ting Tings   grazie in anticipo...
20080918145047AAFyAYY	Entertainment & Music;Movies	Dove potrei trovare una trascrizione per il film "Il Gattopardo"?	N/A
20080713200002AAWsnUc	Entertainment & Music;Music;Rock and Pop	Canzoni che assomigliano a "I Kissed a Girl" di Katy Perry e "Black and Gold" di Sam Sparro?	Mi piacciono delle canzoni come "I Kissed a Girl" di Katy Perry e "Black and Gold" di Sam Sparro perché sono pop, sono un po' techno allo stesso tempo, e sono anche divertente d'ascoltare (cioè, non sono canzoni lente e tristi). Qualcuno sa delle canzoni che assomgliano a queste?      Accetto canzoni da tutto il mondo, non solo canzoni americane.      Grazie in anticipo!
20081121191835AArfQb3	Entertainment & Music;Polls & Surveys	When was the last time you received a (snail mail) letter, and how old are you?	I was just watching the movie "Miss Potter" and I realized I'd forgotten the joy of saving an unread letter for as long as possible, being excited about the full page or two of stories your friend is about to tell you, but knowing once you've ravaged through them, that's it - the burden's on you to write as much back to them. ;)      I'm 21, and the last letter I received was from my late grandmother in 1997 (so, when I was about 10 years old). At the time, I was in an orchestra, and she sent me an "I love my Beethoven" button to pin on my backpack. Nerdy though I am, I never wore it. ;)
20081026201820AAsb4ef	Entertainment & Music;Music;Rap and Hip-Hop	What is your favorite 2Pac lyric?	I personally think all of the lyrics from Ghetto Gospel are awesome, but what are you favorite lyrics from his work?
20081031213900AAD7XyQ	Entertainment & Music;Music;R&B & Soul	Buy or Sell: TLC>SWV?	N/A
20081002164830AAO7kVR	Entertainment & Music;Television;Soap Operas	What is the best or most famous coma in soap opera history ?	N/A
20090210172444AAlhqbz	Entertainment & Music;Polls & Surveys	Are you as fly as me?	if yes how
20081114140952AAwiInT	Entertainment & Music;Polls & Surveys	Do you know anyone that when you hear their voice on the phone?	It makes you all warm and fuzzy inside from lust and stuff?
20090219165739AAkdLVC	Entertainment & Music;Music;Rap and Hip-Hop	Can u give me feedback on my beats?	im only 16 and ive only been producing for maybe two weeks so i made some beats and some of them are on my myspace and i wanna see what you all think of them      any feedback (positive and negative are great) would be really good      either msg/comment me on myspace orlemme know on here      www.myspace.com/ryanhopkinsproductions
20081006201743AApUAfH	Entertainment & Music;Music;Lyrics	Can you hear me running? ?	Can you hear me calling you?
20090109125820AAN3ReL	Entertainment & Music;Polls & Surveys	A teacher at school asked me out for a drink today?	before all your sick minds start working overtime      i was picking my daughter up and her teacher knows im single and asked me out       do you think it will make things awkward for my 9 year old daughter if her dad is seeing her teacher
20090211105407AAAL1X7	Entertainment & Music;Polls & Surveys	What should i get my kid?	his zune died. his ipod shuffle won't hold a charge for more than an hour and he refuses to take back the ipod nano he gave me. i want him to have a good music player for the gym so he will work out longer (he is a little overweight).    so which one do you suggest?
20081012192706AAdXIx9	Entertainment & Music;Polls & Surveys	Which is better...**poll and easy 10 points**?	Tommorrow I'm going shopping at Halloween Express, and I need to know what costume I'm getting. So I need an opinion.     http://www.halloweenexpress.com/pirate-c...    or    http://www.halloweenexpress.com/alice-wo...       So which do you like better, and which do you think my mom will accually buy for me?      And...also...yeah, I'm going to see my ??crush?? in my costume twice (we're going to 2 of the same events for school) so...yeah. he he.
20090130145921AA1kiL6	Entertainment & Music;Polls & Surveys	Poll: Do you think there will be a future depression soon?	In the US..or do you not?   In world studies today we took a poll and almost everyone said yes.   I just was wondering what you all think!      And remember. add me to your contact list!
20081003153048AAmF08t	Entertainment & Music;Television;Soap Operas	To all my Y&R Viewers pls read on.....?	So the plot thickens with Phyllis going too far by bashing Jack and Sharon like that in the newsletter, Do u think that this will definitely cause a split in Nick and Phyllis's marriage, or do u think inspite of it all , they can and will stay together.Personally i wish Nick will dump that wench Phyllis already and go back to Sharon.I think he's alot better with Sharon, what do u guys think.Thanks and have a great weekend!
20081011222809AAlywdq	Entertainment & Music;Television;Soap Operas	On b &b, what do you think will happen next with crazy pam?	i can't believe donna went along with pam. while eric was there i think i would have slowly moved towards pam and knocked the crap out of her and then told eric to call the police. i wouldn't let her get by with that. i know everybody thinks eric should be with the old hag stephanie but he should be with whoever makes him happy and choose for himself and not because he's pushed into a marriage by some old insane hag pammy. i hope she gets caught and stays in prison or an insane asylum for the rest of her life. stephanie is just as nuts as she is because she don't believe donna about pam being crazy even after she tried to kill donna and eric.what do you think?
20081022175708AAMJ0uf	Entertainment & Music;Television;Soap Operas	B&B: Brooke,Taylor and Ridge?	So I havent watched B&B in a few weeks and just tuned in this monday and seen that Taylor is breaking up with Rick b/c she realized that she had feelings for Ridge, Still? So where did all this come from? DId I miss something? Also who would you rather see RIdge with needy Brooke or confused Taylor?   I guess I would rather see Ridge with Taylor just b/c they had a good relationship without all the dumb drama like he has when he's with Brooke.    Thanks
20081011044132AA6UBs6	Entertainment & Music;Music;Classical	Can you name an opera where the Bass is the hero and the Tenor the villain?	..and why the convention ..Tenor hero; bass shifty git
20090219110455AA21g6a	Entertainment & Music;Television;Soap Operas	What is some gossip that is going to happen in general hospital in 2009?	N/A
20081026191227AAUI29u	Entertainment & Music;Music;Rock and Pop	What are some songs about protecting someone?	Because you love them. Or a song about loving someone so much that you'd die for them. Pretty much the whole knight-in-shining-armor thing without an actual knight or princess ;).
20090215234513AAtd3Vy	Entertainment & Music;Polls & Surveys	Where are you off to in the morning?	N/A
20081005173543AAFd7YZ	Entertainment & Music;Music;R&B & Soul	What are some good R&B and R&B and Soul songs? Best Answer get 10 Points?	R&B ex.Aaliyah,R.kelly. etc   R&B and Soul ex. Marvin Gaye,Isley Brothers.etc
20080929193441AAiuuZn	Entertainment & Music;Polls & Surveys	Girls: Do you like guys that speak different languages?	Guys: Do you like girls that speak different languages?
20080402232734AALyzKG	Entertainment & Music;Television;Drama	Any Fans Out There?	You all know that Tuesday made twenty four years since we lost Marvin Gaye. I just wonder how are you all feeling about that?
20081103165818AA74pg8	Entertainment & Music;Polls & Surveys	Do You Talk To Your Self...?	When You Are Alone? I know I do but sometimes I talk to the dogs. Does that count as talking to yourself?
20080928173847AAFjk7p	Entertainment & Music;Polls & Surveys	Sticks and Stones May Break My Bones But Words Will Never Hurt Me?	Try your hardest   you know what I mean   Best answer to the one who is the most jerkish ;)
20081104155223AAA6TQM	Entertainment & Music;Music;Lyrics	What is a good victory song?	other than we are the champions...       thanks
20090109135747AAnKmS8	Entertainment & Music;Polls & Surveys	Fun survey: do u think ur pretty attractive?	i kinda do =)
20081002215015AAutuVz	Entertainment & Music;Polls & Surveys	SuRvEy  Who would win an ant eating contest, an aardvark or Gene Simmons? ?	Who would win an ant eating contest, an aardvark or Gene Simmons? Or other?
20090117172033AA5jAql	Entertainment & Music;Polls & Surveys	Survey: What changes in your life would you make, If you could?	N/A
20081013165141AAMsJWy	Entertainment & Music;Television;Soap Operas	I'm looking for some shows to watch! :)?	I'm in need of a show to stick to. Probably a soap opera would be best. Sometimes I watch The Secret Life of the American Teenager, and also sometimes Gossip Girl on some occasions. I love shows like that and it would be great if you could give me a list of shows I can start watching. Thanks in advance! :)
20081009060839AAMnC8u	Entertainment & Music;Polls & Surveys	What do you remain optimistic about?	N/A
20081012112837AAv4JxP	Entertainment & Music;Polls & Surveys	POLL: What's your favorite day of the week and why?	Thank you.
20081024181419AAYnNO4	Entertainment & Music;Music;R&B & Soul	What Are Your Top 3 Luther Vandross Songs?	I need to put some Luther in my ipod.      My Top 3:      Since I Lost My Baby    http://www.youtube.com/watch?v=qE6YK5o7n...       Anyone Who Had A Heart    http://www.youtube.com/watch?v=QHYH8qy-W...       Wait For Love    http://www.youtube.com/watch?v=wWffynVW3...    
20081104180318AA42NtZ	Entertainment & Music;Television;Soap Operas	Y&R Will Heather and Adam get Married?	 or will she find out something on Adam and Prosecute Him?
20081105081711AAQbVCe	Entertainment & Music;Television;Soap Operas	B&B Why dont they Put Bridgette in a loving Relationship?	She deserves it shes so Kind and thoughtful 'let something good come her way for a change.
20081027200443AA4Hkic	Entertainment & Music;Television;Soap Operas	ATWT Isnt Jack and Janet a Cute Couple?	I like the character of Janet seems like everything is working out good in her Life 'she moves to the town her daughters  Father lives in; things are going really good in that area now shes met someone and fallen in Love  Hope shes not hurt after all this.
20081026081531AASNKqf	Entertainment & Music;Television;Soap Operas	Y&R Well Phyllis are you ready for a Dose of your own medicicine?      ?	Maybe Sharon can roll in the hay with Nick Too.or maybe somewhere else You old Bat Ha Ha Ha Ha Ha
20081016172246AAS9a1m	Entertainment & Music;Television;Soap Operas	Y&R Hey AMBER lol now go Rub some Stuff in Coleens face like she did you .?	What goes around Comes around.
20081016172700AAZUAe4	Entertainment & Music;Television;Soap Operas	Y&rWill Victor appreciate what his Family is doing for Him?	Or will he come Back as stone the way he was before he left?
20081021191737AAX4RfQ	Entertainment & Music;Television;Soap Operas	ATWTDoes anyone else think Vienna is so silly?I Do.?	That Character is so silly
20081018164200AAOlyqr	Entertainment & Music;Television;Soap Operas	B&B  Is there anyone else in town Brooke hasnt Had?	I mean The Brother in Law;The Son in Law The Dad 
20081017172526AAVtMUw	Entertainment & Music;Television;Soap Operas	B&B Ridge which is it gonna be Taylor /Brooke?This is getting Old.?	Why dont they solve the Brooke/Taylor Ridge Issue and have him move on with One and let the other go this is Pathetic.
20081209095755AAvL62h	Entertainment & Music;Television;Soap Operas	Y&R I think Phyllis;s Sceme willbring Nick&Sharon back together dont you ?	wouldnt that be funny?
20080929143138AACbnkw	Entertainment & Music;Television;Soap Operas	Atwt fans..................what happen to liberty and (jack and carly son) and do you think meg will the baby?	N/A
20081114121730AA0wK4n	Entertainment & Music;Polls & Surveys	How long has it been since you made your last pilgrimage?	and where did you Pilgrim too? I made a pilgrimage to the Jack Daniels distillery 2 years ago, took me 6 months and I don't remember much.
20081016142501AAJ2yQr	Entertainment & Music;Music;Rap and Hip-Hop	If Lil Wayne got  shot ?????????	If Lil Wayne got shot 2day would u  care ???????      Who would perfer it ???????????????      Who would cry ???????????????
20081016074401AA5I3kt	Entertainment & Music;Television;Soap Operas	What if Eden turns out to be Sheila's daughter?	Remember she does have a daughter, and even tho they said her mother's dead (how many times has Sheila "died") l'm thinking Sheila can pull that off! 
20081105153117AATghb1	Entertainment & Music;Television;Soap Operas	Between the Y&R and the B&B?	The characters that you would like to meet most, what would you say to them?
20081030000025AAZHgtZ	Entertainment & Music;Polls & Surveys	What is Better: Pepsi or Coca Cola?	I love Coke, Pepsi tastes like flat diet coke to me.
20081009055758AAZ2Utp	Entertainment & Music;Polls & Surveys	Have you been naughty or nice this year?	Santa is Almost here. And he wants to know if you've been naughty or nice for 2008! =]      *I've been rather nice! 
20081108122017AAq4kf5	Entertainment & Music;Television;Soap Operas	Why are Soap Opera Actors always dressed so well?	N/A
20081010151057AAIwier	Entertainment & Music;Movies	Best teen flick of the 90's?	My friend and i were having this discusion earlier, i said:      Horror: Scream   Drama: Cruel Intentions   Comedy: American Pie      Can anyone think of any others... or any better ones than the ones i have chosen???
20081019205339AACgMGx	Entertainment & Music;Television;Soap Operas	Don't you hate it when there's "Breaking News" when you're trying to watch your Soap?	like, when it just cuts into your show?   i hate that. people are watching that   station to watch their show, they can   wait until the news comes on.
20090128150438AAcGvQ5	Entertainment & Music;Polls & Surveys	Poll: Which method would be most effective ...?	... in kicking my brother out of the bathroom? He's been showering for over half an hour now and the situation is getting desperate.   a) "FIRE! FIRE!"   b) Threaten to pee behind his bedroom door.   c) Other. (Please specify.)
20080927215059AACLoaD	Entertainment & Music;Polls & Surveys	WHAT REMINDS U OF A TOILET....?	WHEN UR OUTSIDE THE BATHROOM?      idk just a random question 
20081012112907AAzkQrY	Entertainment & Music;Polls & Surveys	What's the worst pain you've ever felt?	N/A
20081002072835AAN080k	Entertainment & Music;Music;R&B & Soul	Keni Burke's "Rising To The Top" or McFadden & Whitehead's "Ain't No Stoppin' Us Now"?	Which was the better 'inspirational' late 70's/early 80's song?
20081002120758AAbHQva	Entertainment & Music;Music;R&B & Soul	R. Kelly's "Down Low" or TLC's "Creep"?	Which is the better 90's cheater's anthem?      
20081029230055AALqVAg	Entertainment & Music;Polls & Surveys	Which was the last thing you Stole ?	except heart!.. ohh please!.. lol
20071022040930AAPhmhY	Entertainment & Music;Polls & Surveys	Have you ever: "Made someones day" - Clint Eastwood style?	N/A
20080125211151AAyQrB8	Entertainment & Music;Polls & Surveys	Se acerca el 14 de febrero, sentimiento o mercadotecna hipocrita?	que opinas sobre esta fecha tan tonta
20081119155245AAtYJdO	Entertainment & Music;Celebrities	Do you think tupac alive?	there is this one guy who writes songs and he sounds just like tupac. hes never had a show and on his album it doesnt even show his picture what do you think
20080104170454AAyFj9d	Entertainment & Music;Polls & Surveys	?Alguien de aki sabe KUAL ES MI NOMBRE Y CUAL ES TU NOMBRE?	Saludos ?      Feliz Inicio de A?o..!!!?
20080503091436AAoaxfr	Entertainment & Music;Polls & Surveys	Why is our world so messed up?	Gas, polcitics, globalk warming, AIDS, proverty, poor,genocides, bombing, war, horrible economy, the list goes on and on      its not cool man
20081006210520AADsYFK	Entertainment & Music;Polls & Surveys	What is a good 60s/70s song that's about change or frustration?	N/A
20081113062216AAjh93K	Entertainment & Music;Polls & Surveys	If I wanted to visit you late at night where would I meet you?	N/A
20081016054002AASEpaV	Entertainment & Music;Television;Soap Operas	ATWT: Do the Synders all have jobs?	I think Brad and Katie are the only Synders who presently have jobs- although even they don't have 40 hour a week jobs or anything.   Jack used to be a cop but hasn't worked in weeks and doesn't seem to have any financial troubles.   Carly is designer/club owner but never seems to do either of those things.   What does everyone else do??   Meg? Emma? Holden? Lily? Aaron?        It seems like most people in that show are either cops, work at the hospital or work for a generic business (like Paul).   But there's a large handfull that seem unemployed...
20070915163453AAE9OzF	Entertainment & Music;Polls & Surveys	How do you think is the most overrated male and female celeb?	N/A
20071117165825AAbthRY	Entertainment & Music;Polls & Surveys	Você já fez perguntas no yahoo de outros paises?	O que você achou das respostas deles?
20071023145825AAGvyji	Entertainment & Music;Music;Other - Music	Recomiendenme sus mejores canciones para los que estamos dolidos...?	Terminé con mi novio y estoy muy triste y muy dolida, quiero escuchar canciones de esas con las que te dan ganas de cortarte las venas con una galleta maría...   Gracias...
20080219182702AA5QM7v	Entertainment & Music;Polls & Surveys	Hay algun buen motivo para bloquear a algun usuario??	Tu porque bloquearias a alguien???
20071003162454AAAX2O0	Entertainment & Music;Music;Rap and Hip-Hop	?Cómo se llama el rapero espa?ol que en una de sus canciones solo utiliza sustantivos?	Quisiera poderle mostrar un video a un amigo mio, el video está en Youtube, se trata de un rapero espa?ol, que en una de sus canciones solo utiliza sustantivos.      Gracias por la info.
20080515172544AA99yoZ	Entertainment & Music;Polls & Surveys	Cuantas veces dijiste "no sos vos, soy yo"?	Frase harto trillada en rupturas y afines.
20080927213903AANudlk	Entertainment & Music;Polls & Surveys	Did you, do you, will you...?	go to college?
20080105193454AA3gEXo	Entertainment & Music;Music;R&B & Soul	Les gustan las pussycat dolls?	A mii me encantan!   Piienso que son las mejores!   Que piiensas tu?
20090123151947AAKWufa	Entertainment & Music;Music;Other - Music	What song makes you feel really emotional?	for me it's:      Hawthorne heights-ohio is for lovers (i'm not a fan but when i hear it i wanna cry)      and Goo Goo dolls-iris
20081017173420AAdpUtj	Entertainment & Music;Television;Soap Operas	ATWT fans do you think Jack and Janet will get married?	N/A
20081004225721AAGFGf8	Entertainment & Music;Music;Rock and Pop	Girls Only! Please help me find who sings this song?	I am assuming that girls would know this song since its a girl band kind of song.    I have only heard of this song once and it was played in a used music store.. i assume its their new album or sth.       anyway.. i don't remember the lyrics of the song but i know its kind of punk. and there's repeat sounds of gun cocking sounds(hummer) and with a gun firing sound. and they repeat between lyrics and lyrics.       i really love that song.. but i hate myself for not asking who sing it at the store that time. please help.
20081103165853AAR0ghH	Entertainment & Music;Polls & Surveys	I'm a genie. What are your three wishes.?	N/A
20081102220345AACN8KG	Entertainment & Music;Polls & Surveys	Poll - are you straight, gay, or bi?	I just wanted to see the demographics.      If you don't like my question, please say so before reporting it, as I will delete it myself.      Thanks!
20081107094733AAgeGZw	Entertainment & Music;Music;R&B & Soul	Great Music to wake up to?    ?	What are your favourite songs to wake up to in the morning?
20080102141211AAdzMgd	Entertainment & Music;Music;Other - Music	Tu opinion?	me podrian decir que piensan de la llamada "musica comercial"   como lo definirian ........   bueno para mi toda la musica es comercial TODOS los que se dedican al negocio esperan ganar MILLONES, con su trabajo,(y quien no)   ser populares ,salir en revistas, que pasen sus aburridos videos una y otra vez.   y DE TODOS LOS GENEROS.   entonces me podrian dar su opinion y DECIRME  que cantantes,bandas ,artistas que no sean musica  comercial...
20070918163207AAicHik	Entertainment & Music;Television;Drama	Pregunta por Superman...?	Aqui en la tierra tiene supermegapoderes, pero si se le acerca una piedra de Kriptonita, cae debil y sin poder hacer nada. Se supone que esa piedra es de su planeta y por eso le quita los poderes... Entonces si el estubiera en su planeta, seria un inutil flojo que nisiquiera va a poder estar parado como borracho?? Posible que las piedras de su planeta le quitan hasta la vida? Por eso que sus padres lo enviaron aqui en la tierra? porque alla no podia sobrevivir?
20071218200419AAls5HO	Entertainment & Music;Television;Other - Television	Quien tiene estrella...?	que tal te parece el programa .. yo creo que es de muy mal gusto no por los participantes si no por el disque juez de lentes que es de lo mas prepotente y patan... creo que el programa seria mucho mejor si no se insultara de esa manera a los participantes
20080126084637AATJoFe	Entertainment & Music;Movies	Peliculas mexicanas?	donde encuentro peliculas mexicanas en venta estoy buscando de Clavilazo.. El chismoso de la ventana.. ya intente en tooooodos los lugares mas conocidos tooodos lo que quiero es alguna direccion o un web site ..... porfa quiero respuestas que ayuden
20080101142825AA1WtTl	Entertainment & Music;Music;Other - Music	El reggaeton.. es de Panama o Puerto Rico?	N/A
20081117033657AAKHygZ	Entertainment & Music;Music;R&B & Soul	Music for brothers - IDEAS?	Im making a CD for my brother for his birthday, Please give me ideas.
20081022092019AA50kBd	Entertainment & Music;Television;Soap Operas	Why do some people watch Soap Operas all their life?	N/A
20081115152057AAxku3j	Entertainment & Music;Polls & Surveys	Do you ever use Y!A for research on anything?	Thanks in Advance      Blue
20081029231150AAtlUQ5	Entertainment & Music;Polls & Surveys	What do you like to whisper in somone's ear?	>=D
20081113112058AAqJxua	Entertainment & Music;Television;Soap Operas	Y&R-Who thought Phyliss cleaned up the house quick?	I thought Nick would walk in and see it a torn up.
20081013151639AAPHmQ6	Entertainment & Music;Television;Soap Operas	Y&R-Do you think Jeffery is about to turn Gloria in? ?	N/A
20081016132654AASPLzi	Entertainment & Music;Music;R&B & Soul	Is R. Kelly today's Marvin Gaye?	I mean listen to his style here in You Knock Me Out:    http://www.amazon.com/You-Knock-Me-Out/d... 
20081012115912AAM5lRt	Entertainment & Music;Polls & Surveys	Do you think Yahoo Answers will exist 10 years from now?	I say it will but it's going to look a heck of a lot different. Maybe even by that time it'll start costing money. Then I'll never go on again.      Thanks for the feedback. 
20090130173628AAH2gCn	Entertainment & Music;Polls & Surveys	Poll>:] When was the last time .?	You won something ?
20081123104853AA7avNJ	Entertainment & Music;Polls & Surveys	Do you think it's gay for a guy to go tanning?	My friend was arguing me about this and it sure seems gay to me.
20080331113024AA0QM4K	Entertainment & Music;Movies	About the movie "notting hill"?	does this movie lend itself to real life.  not the falling for an american star but the launage, personalities......?
20071108113014AAdONNC	Entertainment & Music;Music;Rap and Hip-Hop	? Alguien sabe como se llama esta cancion ?	 http://profile.imeem.com/_6PhVg/music/i0...       canta The game Featuring Akon
20070924103455AA041Nb	Entertainment & Music;Polls & Surveys	Te comportas de acuerdo con lo que te dicta cada momento???	N/A
20081003120803AAcnphd	Entertainment & Music;Television;Soap Operas	Will Dailey on As the World Turns soap opera~!?	Please tell me the names of songs he sang.   Also closing show was song which he sings   boom boom to boom boom boom????? Oct 3~2008   And what is title of CD which these songs can   be found?   He sounds so smooth~~~!!!!!
20071007145935AAicKk8	Entertainment & Music;Music;Rap and Hip-Hop	Para quieres de verdad les gusta el hip hop: Como les empezo a gustar?	...y porque? nada mas porque si? me refiero que como se empezaron a interesar por el rap y hasta la cultura misma. porque les gusta?.    solo quisiera que me dijeran como porque comenzaron a interesarse en esta musica
20071013142021AA0NPV7	Entertainment & Music;Music;Rock and Pop	Cancion de Depeche Mode?	como se llama una cancion que el video es sobre una carrera de autos o algo como eso, creo que es en el desierto o sabe donde weyes donde se ven cantando como en un templete, saben de cual hablo?
20090126170549AAfOpLw	Entertainment & Music;Polls & Surveys	Me diga um trecho de qualquer música que tenha a palavra AMOR ?	Vamos lá!      Qualquer música que contenha a palavra AMOR!      Só n?o pode repetir a música heim!      Eu vou come?ar ent?o:      ... quero um amor maior, é, um amor maior que eu...      próximo >>>>>>
20081001135539AA3ucJm	Entertainment & Music;Television;Soap Operas	Anyone watch As the World Turns?	I just watched today's (Wed) episode and what the hell is Carly doing?  Why would she turn Jack down like that?     I hate that I am so into this stuff, but it my little 40 minute escape each day .. . . the thing that is only mine.  And the Jack and Carly story is my most favorite.  They belong together and I don't understand why they would do this (they being the writers.)   
20081031163318AAFRDdI	Entertainment & Music;Music;Other - Music	Is Brasil a poor or rich country ?	Please tell me some brazilian band or music .
20081013192912AASyfNl	Entertainment & Music;Polls & Surveys	Simple survey........?	This is for my math class so please give me valid info.   I am trying to see if there is a relationship between eye color and if you wear glasses or not.      i need the following information...      -Name (first name is fine)   -eye color   -do you wear glasses/contacts            thanks for all of you help i appreciate it!!      ?thanks a lot!!!
20071229141010AAMW3L7	Entertainment & Music;Music;Other - Music	Que canciones te relajan?	a mi un dia de paz, como que la letra, la voz y la musica es muy buena. por cierto es de kudai
20070923065619AAiDkJ6	Entertainment & Music;Music;Other - Music	Que cangrejos tiene de bueno el regeton?	diganme tres buenas virtudes que este tipo de musica tenga,oh perdon, lo olvide.. NI UNA! al reves, este tipo de musica es machista, superficial, y solo habla (mayormente) de sexo, como una imagen del amor, que en mi opinion esa imagen del amor es retorcida. en cambio otros tipos de musica tiene virtudes, como la ecoligia, el decir no a la guerra, el que los humanos deberiamos cambiar nuestra forma de ser, y que dice el regeton sobre esto?    " te poseere en la cama"   "hagamos el amor por el telefono"   "muevete duro"   que es esto?!   y lo que menos entiendo es como es que a las mujeres de mexico les gusta, si en los videos se degradan ellas mismas?   con una ch·ngada digan no, al regeton!
20070925105709AAb8rEz	Entertainment & Music;Music;Rap and Hip-Hop	Análisis a "The massacre" de 50. les gusta?	Hola! soy yo! cornell haynes jr. y vengo a acerles un analisis a ese tan famoso cd de 50 cent.analizando cada cancion   Titulo: s un titulo muy familiar para un rapero como 50 cent "the massacre"   Intro:De un significado dificil de interpretar, de fondo se escucha "What up gangsta"   In my hood: Cancion muy buena para empezar tiene toques de jazz   this is 50:Parecida a la anterio, pero mucho mas violenta   I'm supposed to die tonight:Una obra de arte de eminem quien producio esta violenta cancion, es bastante buena   Piggy bank: es una diss song dedicada a fat joe, jadakiss na, shyne, entre otros   Gatman y robbin: En mi opinio es una de las qu menos me gusta, aunque canta eminem   Candy shop:Quien no ha oide esta cancion antes? es muy famosa y la liraca provoco controversia por ser tan erotica   Outta control: es bien conocido que hay dos versiones distintas de esta cancion, el remix sali en la edicion especial y escalo altos lugares en las clasificacionnes ....(continua)
20080101185756AApkLOw	Entertainment & Music;Other - Entertainment	Costo de entrada Diego Torres ?	Quisiera saber cual es el costo de las entradas de Diego Torres en Mar del plata que se presentarà el 12/01 en el estadio polideportivo. Besos!
20070924233229AA3AIbs	Entertainment & Music;Music;Rap and Hip-Hop	? NO crees que este es el mejor rapero de la historia ?	Se llama Mr.jat, es Mexicano y yo creo que es el mejor rapero de la historia.. ? no compartis mi opinion ?.       http://www.youtube.com/watch?v=wPad5mVGM... 
20080929052923AAxO4Du	Entertainment & Music;Music;Rock and Pop	?como se llama esa cancion de mtv?	esta en un video donde una chica le pone una substancia a su novio en un cafe para que le de un ataque de diarrea o algo asi, y luego tapa aproposito todos los ba?os 
20070921090646AA7755H	Entertainment & Music;Music;Other - Music	? que opinais del fenomeno rbd?	Yo digo r tu dices bd.. rbd, rbd.. ? que opnais de anny,dulmai,chris.chistofer y Poncho?? el grupo De Rbd Un Fenomeno Universal Dadme Vuesra Opinion 10 Pun, Saludos
20070919161514AAVac9m	Entertainment & Music;Music;Other - Music	Cual es el nombre de la canción que sale en este vídeo    www.youtube.com/watch?v=D5wOS6…	quiero saber cual es el nobre de esa cancion porque me gusta pero no se como se llama
20071226142314AA0UMn7	Entertainment & Music;Music;Other - Music	10 ptos, 5 estrellas y una estrella a cda pregunta q haga URGENTE!!!?	xfis es urgente quiero sorprender a mi familia con la cancion todo cambio de camila para piano aqui tengo el pentagrama  http://letrasyacordes.net/cancion/10870  y me gustaria que me la cambiaran a notas asi como: Do re re la la mi sol do re mi" algo asi xq no se leer pentagramas y siempre he sido la oveja negra de mi familia en lo que corresponde la musica mi prima siempre se lleva ese puesto por favor se los suplico que me ayuden xfis se los ruegoooooooooo gracias :D
20080123143245AA31aE7	Entertainment & Music;Polls & Surveys	Entonces quien sufre mas ??el que se va o el que se queda ,,,?	yo creo que el que se queda , y ustedes ?
20080808090120AAzDAsF	Entertainment & Music;Jokes & Riddles	Que les parece este.....el reloj !!!	Pancho, ingenuo muchacho campesino, le pide a su padre Don Cruz que le comprara un reloj…      - Un relò?? – se extra?o el viejo – Y pa’que quere m’hijo ese relò ?      Responde el candido muchacho:      - Lo necesito pa’ cuando estoy con Rosita, mi novia      Insiste Don Cruz:      - Y que falta le hace un reló a m’hijo pa’ estar con su novia ?      Contesta el inocente:      - Es que ella empieza a besarme, me hace caricias y me agarra todo.  Luego comienza a respirar muy “retejuerte” y me dice:   - ? ? ? ? ?  Damela ora !!!!!!!!         - Y yo no tengo reló apá…………..!!!   
20080128145544AA7rObu	Entertainment & Music;Music;Rap and Hip-Hop	Alguien k me de un top 20 de eminen ?	N/A
20081114183630AAB7xi6	Entertainment & Music;Jokes & Riddles	What color was the bear?	A bear walks south for one kilometer, then it walks west for one kilometer, then it walks north for one kilometer and ends up at the same point from which it started. What color was the bear?
20071230160858AAoaxcS	Entertainment & Music;Other - Entertainment	Para los colombicultores o gente que sepa de palomas:?Cuáles son los síntomas de la salmonelosis en una paloma	Porque tengo a mi paloma de 9 a?os de edad enferma, tiene los siguientes síntomas: poco apetito, decaimiento, debilidad, diarrea (desde hace 2 días) las fecas son aguadas y de color amarillo. No quiere tomar agua, y si la suelto en el patio, no quiere dar unas vueltas como antes lo hacía, se queda alli parada, con las plumas erizadas. Además de eso está ronca (cuando arrulla, su voz es débil, casi imperceptible)   Alguien sabe que le sucede a mi paloma?   ?Es necesario que la lleve inmediatamente a un veterinario?      les agradecería mucho su ayuda...ya que mi paloma es muy importante para mí...
20080430232239AA1xRB1	Entertainment & Music;Polls & Surveys	POLL::DO you LIKE getting STARS?	Or do you not care for them?      Thanks ;]
20080430230719AA5DP56	Entertainment & Music;Polls & Surveys	If Y!A had clothing items to advertise this site, would you get it?	Hahah :D      Things like "I ? Y!A"
20081016051100AAGWWga	Entertainment & Music;Television;Soap Operas	Lily looks like anteater? Y&R?	LOL my sister isnt a fan of Lily, (i am i think she is quite pretty) and we were talking about her and she said she has too much long face like horse or anteater.      I think she is pretty except for her hooked nose what do you think of her?
20081015150358AAxvojS	Entertainment & Music;Television;Soap Operas	Y&R- Which Colleen you liked best?	Overall in order of preference which Colleen did you like best out of Lyndsy, Adrianne and Tammin and why?   Here is my choice:)      1. Lyndsy- She was adorable and so sweet   2. Tammin- I think when she first came on the show she had that sweetness to her, and she reminded me of the way LF acted. But now they changed colleen's character into a meanie :(      And Adrianne i didnt care much for great actress but didnt suit colleen.   
