20090205163738AA0hiMy	Sports;Winter Sports;Ice Skating	What kind of Blades does Sasha Cohen Have?	Wondering
20061214133728AAvbooY	Sports;Fantasy Sports	Which two Wr's should i start in fantasy football?	Marvin Harrison vs. the bengals, javon walker vs the cardinals, or reche caldwell vs the texans
20061214160226AAoT6Sa	Sports;Football (Soccer);Other - Soccer	How do I handle this?????	ok this is a long story so stop reading if you dont have time      I have like always wanted to be on the A soccer team at my school (a=varsity) I have never gotten on it and a lot of the girls on that team are not really friends with me.  I know that most of them are a lot better than me but I really wanted to be on that team.  I was sick for part of tryouts so I asked to be reavaulated so I could possibly get on this team.  Dont think that I am doing this just because i want to be on this team. its because I want to be more challenged and I am really passionate about soccer.  Anyway, when i made the team everyone was pretty mad at me and were making up things like my dad called in(hes hedmaster) and everyone said that I dont deserve to get on the team.  I just ignored it for most of the day until it got to PE period.  people were talking about me and saying that i am horrible at playing soccer.  it has gotten better and better since then, but still people hate me.  .........
20061216141323AAmSCkY	Sports;Basketball	How do i purchase university of kansas basketball tickets?	N/A
20061216141703AADacoe	Sports;Baseball	Why in baseball?	why in baseball when the pitcher throws a bad ball to the catcher,and it hits the dirt,the umpire gives him a new ball,but if the ball is hit by the batter in the outfeild or wherever they keep playing with that ball????
20061217173244AALW2D9	Sports;Wrestling	I ordered a wrestling event but there is a fault has this happened to anyone else today?	N/A
20061220054339AAmUBLe	Sports;Other - Sports	What are some unique jumps and turns i can do in a gymnastics floor rutien?	im looking for something different to impress the judges
20090203044535AAg8JFu	Sports;Tennis	Australian open 2009 men final ending song?	Hi, everyone.   i turned on the TV and watched a team ( a lady and two men ) playing and singing a song for the AO 2009 men final, the rhythm of the song i like very much.    just wondering what is their name and the song title.
20090203045040AAlEOYE	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Chelsea fans. ricardo quaresma?	what do you think of the loan signing of ricardo quaresma, i personally think chelsea should try to buy him as he is a great player and scolari will get the best out of him as they know each other well from scolari's time as portugal manager
20090203045104AAeLL6V	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Can Ashavin save Arsenal title hopes?	N/A
20090203050226AAxJWCQ	Sports;Football (Soccer);Other - Soccer	From where i can get tickets for a football match?	we are going to be in london on holiday and on the 25 there is going to be Juventus vs Chelsea. can someone tell me from where i can buy tickets for that match?
20090203045608AApmyLp	Sports;Golf	Do public golf courses give certified handicaps to players?	also, do private golf courses give certified handicaps to guests?            i'm planning to play at the course for the first time. BUT i'm not a member of any golf course YET because i'm not sure whether I want to play golf forever. well, if I get a membership and I stop playing after getting tired, then my money would go to waste.         thank you for reading.
20090203045902AASiAZG	Sports;Basketball	How do you get better at basketball?	practice practice practice
20090203045904AAfE3pl	Sports;Basketball	Basketball is my life. When im with my friends i am the scorer but i cant score in a game. I want to score bad?	Im good at everything i have good defense and i have a lot of potential.  I dont know what happens when game time comes...please help!
20090203045953AADvMFB	Sports;Football (Soccer);Men's Premiere Leagues (UK)	What does the word pool mean in towns like Liverpool and Hartlepool?	N/A
20090203050042AAUeLkQ	Sports;Football (Soccer);Scottish Football (Soccer)	With celtic going out the Euro`s so early ..the league must be a cert is it not?	after all they have not played half the games braingers did last season and they almost won the league and the Euro`s
20090203050228AARuZ2R	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Can we manage national teams in FIFA Manager 08?	FIFA manager 08 managing national teams to FIFA world cups
20090203051119AAngKHn	Sports;Cricket	How can i watch online live cricket for free?	N/A
20090203051707AAzBbyu	Sports;Swimming & Diving	BEST PLACE TO BUY A DIVING DRYSUIT ONLINE, FOR UNDER ￡300?	I NEED A NEW DRYSUIT FOR SAE DIVING, AND ONLY WANT TO SPEND ￡300.      ANY HELP WOULD BE GOOD.  :)
20090203052444AAZyvN2	Sports;Football (Soccer);UEFA Champions League	Will Lionel Messi be the FIFA World Player 2009?	N/A
20090203052723AAUzfZa	Sports;Auto Racing;NASCAR	What do you think of my Fantasy Team ?	We have to keep our teams for 12 races.Here it is 48,31,x0,18,88,83,42,20
20090203052942AAB8oWA	Sports;Winter Sports;Snow Skiing	Will snow be melted in Winterplace on Monday?	I'm considering taking my family snow-skiing at Winterplace Ski Restore (in West Virginia) on Monday.  I just noticed that it's forecast to be above freezing all weekend long and on Monday.  How much will this affect the snow?  Will the snow be slushy, or absent in places?  I'm an inexperienced snow-skier so I don't know about this.  THANK YOU.
20090203054029AACKpGP	Sports;Basketball	Can anyone locate a video clip of Hugo the Hornet during the 1992 Mascot Slam Dunk Competition?	I am looking for the "Bug on the Windshield" dunk.
20090203055804AAd5YGO	Sports;Wrestling	Whos better beth or maryse?	N/A
20090203055913AAGwuMV	Sports;Wrestling	Predictions for the elimination chamber?	At No Way Out, what are your predictions for the two elimination chamber matches?      For the Raw chamber, I'm not sure what to predict concerning the World Heavyweight championship.      But for the Smackdown chamber, I think they will have Edge survive the match, and then go on to Wrestlemania to defend the WWE championship. And at Wrestlemania, I think they will have Edge lose the championship to either Triple H, Jeff Hardy, or Undertaker.      What are youir predictions for the two elimination chamber matches?
20070122210009AAurLPb	Sports;Football (Soccer);Other - Soccer	Who do u think is most overated and underated football players of all time??	N/A
20070125120047AASGptV	Sports;Other - Sports	What do u think of Mens Gymnastics? Why?	N/A
20070125172254AAgWYKF	Sports;Football (Soccer);Mexican Football (Soccer)	Por que los comentaristas de tv azteca hablaban muy mal de?	por ke los comentaristas de tv azteca hablaban muy mal de hugo sanchez y ahora lo alavan mucho ke hugo pa aya y hugo para aca  ya hasta lo alavan   pq son tan hipocritas
20070130132221AAY6SNJ	Sports;Wrestling	I have heard that there is not going to be a Smackdown v RAW 08?	Does anyone know if this is true, and if it is, what the next WWE release will be
20070209122959AAXBoQj	Sports;Football (American)	Are the Baltimore Ravens defense the most feared defense for the last decade?	N/A
20070212223244AAt0sEf	Sports;Football (American)	Is it wrong to past gas in front of your mother on her b-day?	N/A
20070215053829AANKedN	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Does anyone have any info on the new striker man city are signing?	striker on trial with mcfc anyone have any stats? thanks
20070217155937AAiwrgU	Sports;Football (American)	Are there any flag football leagues for teens in Indianapolis?	Please provide info. website, details, contact info...ect.
20070909142228AAjMoXw	Sports;Football (American)	What do you think of the Chargers' new uniforms???	I can't believe I couldn't find this question on here already!!!! I think they're pretty sharp, what do you think??
20070328132624AAssejg	Sports;Wrestling	Who is BDJ??????	N/A
20070704143928AAPdM6x	Sports;Wrestling	Do you think Chavo Guerrero should have gotten the World title push that was given to Rey Misterio?	I'm not suggesting that's what I would have done, I've just noticed that a lot of people hate the fact Rey got the World title.
20070506141628AAs9mpd	Sports;Wrestling	Is the back of the arena the best place to meet wrestlers?	N/A
20070328145034AAhSQWp	Sports;Wrestling	If anybody knows who Lance Hoyt is?	Where is he? He hasnt been on TNA for a while and i cant get enough of him. Is he ever gonna get a push?
20070511203117AA8hRMb	Sports;Wrestling	Who is Glad Edge beat Undertaker ?	Who is Glad Edge beat Undertaker ? Who liked the fact edge had to wait till after undertakers match with Batista to win the belt.
20080104013550AAu6Qln	Sports;Other - Sports	Dove posso comprare un plicometro?	il mio ragazzo, che fa  il personal trainer, deve comprare un plicometro, ma non sa dove trovarlo. Ho provato al decathlon, ma non trattano questi articoli. Dove posso trovarlo? non voglio comprarlo on-line, vorrei un negozio a milano. Grazie
20070705070234AANec2D	Sports;Wrestling	If in The WWE they were to do another Smackdown vs Raw storyline...?	Smackdown vs Raw storyline for Survivor Series but    onky this time ECW was added    what would be each brand 5 memeber team
20070509141048AAixztz	Sports;Wrestling	Who is your favourite here?	who do u like more   1-) Davey boy smith .   2-) Black parade daria.   3-) Hardy boys.   4-) Mickie lee.   5-) Tripple H.   6-) Latino Heat.   7-) DX#1 fan
20070509003851AAeKgvK	Sports;Cycling	Dove si compra la vernice per dipingere la forcella di una bici? supermercato? come si chiama? quale scelgo?	N/A
20070408225531AA5TbZR	Sports;Hockey	Rick DiPietro ?	Well im an Islander's fan and im extremely happy that they beat the Devils in the shoot-out, when they shoulda won in regulation ....   I know Rick DiPietro is out with a head-concussion and his return-date is questionable.   I was just wondering if anyone had heard anything else about his return.      Go Islanders !!   Go Dubie !!
20070305022213AAdF627	Sports;Football (American)	What position should i play?help?	im a 5'11 180lbs 17 year old from australia and play american football over in oz, i play linebacker for my team but i know if i wana play high school or college ball im too small but i can take big guys down    i wana try free or strong safety   ive put on 12 lbs in the last month and a half and im aiming to get to bout 195lbs   how do i do this and get fast at the same time?
20070305050220AA28O0I	Sports;Football (American)	Is it to late to start football as a fresman?	i toss a football around with some friends and im pretty good. i have a good sense of balance and i can run over most of the guys i play with. i want to run the ball but do i need to have more expirience?
20070314165159AALrxg4	Sports;Fantasy Sports	What is fantasy baseball?	N/A
20070328134502AArrS2m	Sports;Wrestling	What is a Diva ?	N/A
20070417141749AA9YI36	Sports;Other - Sports	Airsoft Guns.... Do they break Easily? are they plastic?	I know that they can get pretty expensive.. if u bought a 30 dollar gun would it just fall and break or are they worth buying?? And also... (im not smart with these things) but can you play with others who are playing with paintbal guns??
20070502171154AA1GRj3	Sports;Football (Soccer);Mexican Football (Soccer)	Creen que pachuca se ha campeon del torneo mexicano y del mundial de clubes?	por su buena racha
20070509124310AAXMtf1	Sports;Wrestling	Who is sexier Santino Marella or Elijah Burk?	What do u think?
20070629020509AAXgT4G	Sports;Rugby	Dopage dans le rugby  est ce déjà trop tard ?	Selon l'Agence Fran?aise de Lutte contre le Dopage, six joueurs de rugby   se sont révélés positifs à des contr?les effectués lors du premier trimestre 2007.    Parmi eux, un cas positif à la coca?ne, un aux cortico?des et quatre aux cannabis.
20070721061602AA3jvuT	Sports;Football (Soccer);Men's Premiere Leagues (Italy)	Moratti vuole vincere la coppa-campioni___si la coppa di gelato__magari al gusto di pere______________________	N/A
20070909142946AAu9lPT	Sports;Football (American)	Was that the best performance of Brady's career??	Brady completes 78 % of his passes for 297 yards, 3 TDs, and a 146.6 QB rating. He has one higher QB rating, 148.3, but in that game he threw for only 203 yards.
